
Координаты тестовых точек для ввода текстовых параметров стороннего самолета
метры   координаты
100   55.958356,37.245434
200   55.958914,37.246892
500   55.960586,37.250834
1000  55.964264,37.255946
2000  55.974549,37.257399
4000  55.987619,37.206948
8000  56.002212,37.142094
16000 56.013231,37.007112
32000 56.011045,36.739042
64000 55.876949,36.229551


#1#SET#FLY#адрес,Squawk,номер рейса,altitude,pressure_altitude,speed,course,vert_rate,latitude,longitude,aircraft_type,hour,minute

#1#SET#FLY#3BC001,1001,TS00100,1100,1100.0,110.0,10.0,10,55.958356,37.245434,1,1,1
#2#SET#FLY#3BC002,1002,TS00200,2100,2100.0,210.0,30.0,20,55.958914,37.246892,2,2,2
#3#SET#FLY#3BC003,1003,TS00500,4100,4100.0,410.0,90.0,40,55.960586,37.250834,3,3,3
#4#SET#FLY#3BC004,1004,TS01000,5100,5100.0,450.0,110.0,50,55.964264,37.255946,4,4,4
#5#SET#FLY#3BC005,1005,TS02000,5500,5500.0,510.0,130.0,60,55.974549,37.257399,5,5,5
#6#SET#FLY#3BC006,1006,TS04000,6100,6100.0,550.0,160.0,70,55.987619,37.206948,6,6,6
#7#SET#FLY#3BC007,1007,TS08000,6500,6500.0,610.0,190.0,80,56.002212,37.142094,7,7,7
#8#SET#FLY#3BC008,1008,TS16000,7100,7100.0,710.0,210.0,90,56.013231,37.007112,8,8,8
#9#SET#FLY#3BC009,1009,TS32000,7500,7500.0,810.0,240.0,100,56.011045,36.739042,9,9,9
#10#SET#FLY#3BC010,1010,TS55000,8100,8100.0,910.0,270.0,200,55.876949,36.229551,9,10,10


Расстановка по кругу на дистанции 15,5км от центра.

56.097114,37.243040
56.058714,37.410581
55.957925,37.490232
55.870000,37.438047
55.819004,37.244413
55.859961,37.067259
55.953302,36.995847
56.052567,37.057646


#1#SET#FLY#3BC001,1001,TS00001,2000,2000.0,500.0,1.0,10,56.097114,37.243040,1,1,1
#2#SET#FLY#3BC002,1002,TS00002,2000,2000.0,500.0,45.0,20,56.058714,37.410581,2,2,2
#3#SET#FLY#3BC003,1003,TS00003,2000,2000.0,500.0,90.0,40,55.957925,37.490232,3,3,3
#4#SET#FLY#3BC004,1004,TS00004,2000,2000.0,500.0,135.0,50,55.870000,37.438047,4,4,4
#5#SET#FLY#3BC005,1005,TS00005,2000,2000.0,500.0,180.0,60,55.819004,37.244413,5,5,5
#6#SET#FLY#3BC006,1006,TS00006,2000,2000.0,500.0,225.0,70,55.859961,37.067259,6,6,6
#7#SET#FLY#3BC007,1007,TS00007,2000,2000.0,500.0,270.0,80,55.953302,36.995847,7,7,7
#8#SET#FLY#3BC008,1008,TS00008,2000,2000.0,500.0,315.0,90,56.052567,37.057646,8,8,8

***При вводе данных самолета, он должен располагатся на круге (в новой версии программы).
***Тестировать в режиме "Тест самолет зафиксирован"
